Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
lon,"Lomwe, Malawi",1,1,L,5,2019,2014,2010,Y,N,lon
ttw,"Long Wat",1,1,L,2,,,,N,Y,
lgu,Longgu,1,1,L,3,,,1916,N,Y,
wok,Longto,1,1,L,1,,,,N,N,
los,Loniu,1,1,L,2,,,,N,Y,
crc,Lonwolwol,1,1,N,3,,,1899-1949,N,Y,
lnz,Lonzo,1,1,L,3,,,2024,N,N,
ldo,Loo,1,1,L,2,,,,N,Y,
lop,Lopa,1,1,L,2,,,,N,Y,
lov,Lopi,1,1,L,1,,,,N,N,
lpx,Lopit,1,1,L,3,,,2025,Y,N,
lrn,Lorang,1,1,L,1,,,,N,N,
lnn,Lorediakarkar,1,1,N,0,,,,N,N,
uvl,Lote,1,1,L,4,,2009-2015,1993-2004,Y,N,uvl
dtr,Lotud,1,1,L,3,,,1992,N,N,
loj,Lou,1,1,L,3,,,1992,N,N,
lou,"Louisiana Creole",,,N,0,,,,N,N,
lur,Loura,1,1,L,2,,,,N,Y,
vnk,Lovono,,,N,0,,,,N,Y,
urr,Loyop,1,1,L,1,,,,N,N,
loz,Lozi,5,5,L,5,1951-2020,1925-1939,1922-1957,Y,Y,loz
khb,Lu,9,6,L,4,,1933,1921-1932,Y,Y,
lex,Luang,1,1,L,4,,2005,1995-1997,N,Y,lex
lua,Luba-Kasai,3,3,L,5,1927-2025,1920-1982,1913-1962,Y,Y,lua
lub,Luba-Katanga,1,1,L,5,1951-2025,1923-1980,1921-1948,Y,Y,
kcc,Lubila,1,1,L,3,,,Yes,N,Y,
lcf,Lubu,1,1,L,3,,,2022,Y,N,
lch,Luchazi,2,2,L,5,1963-1975,1935,1957,Y,Y,
luq,Lucumi,,,N,0,,,,N,N,
lud,Ludian,1,1,L,0,,,,N,N,
ldq,Lufu,1,1,N,0,,,,N,Y,
lgg,Lugbara,2,2,L,5,1966-2008,1936-1978,1922-1964,Y,Y,lgg
ruf,Luguru,1,1,L,4,,2014,2007-2012,Y,Y,ruf
lcq,Luhu,1,1,L,2,,,,N,N,
ida,Luidakho-Luisukha-Lutirichi,3,1,L,5,2013-2014,2006,2000,Y,Y,
lum,Luimbi,1,1,L,3,,,1935-1939,N,Y,
lui,Luiseno,,,N,0,,,,N,Y,
lkb,Lukabaras,1,1,L,3,,,2021,Y,N,
dop,Lukpa,2,2,L,5,2001-2009,1977,1956-1991,Y,Y,
rag,Lulogooli,1,1,L,5,1951-2008,1925-1996,1911-1939,Y,Y,rag
lup,Lumbu,2,2,L,3,,,1933-2023,N,Y,
lmd,Lumun,1,1,L,4,,2019,Yes,Y,Y,lmd
luj,Luna,1,1,L,5,1927-1932,1911-1930,1905-1927,N,Y,4053
luk,Lunanakha,1,,L,2,,,,N,N,
lun,Lunda,4,3,L,5,1962-2012,1918-1929,1914-1946,Y,Y,lun
lnd,Lundayeh,3,3,L,5,1982-1998,1962,1947,Y,Y,lnd
lga,Lungga,1,1,L,4,,2002-2024,2001,Y,Y,lga
lrc,"Luri, Northern",2,2,L,4,,2024,Yes,Y,Y,lrc
luz,"Luri, Southern",2,1,L,3,,,2024,N,Y,4200
lse,Lusengo,1,1,L,3,,,1898-1920,N,Y,
lut,Lushootseed,,,N,0,,,,N,N,
khl,Lusi,1,1,L,2,,,,N,Y,
lts,Lutachoni,1,1,L,3,,,2018,Y,N,
ndy,Luto,2,2,L,4,,2015,2013,Y,Y,
lue,Luvale,3,3,L,5,1955-1970,1928-2010,1902-1951,Y,Y,lue
luv,Luwati,1,1,L,1,,,,N,N,
lwo,Luwo,1,1,L,4,,2003-2011,1954-1995,Y,Y,lwo
ltz,Luxembourgish,4,4,L,4,,2017,2000,N,Y,
lyn,Luyana,1,1,L,4,,Yes,2015,Y,Y,4077
lwa,Lwalu,2,2,L,2,,,,N,N,
lvl,Lwel,1,1,L,1,,,,N,N,
lee,Lyele,1,1,L,5,2024,2001-2007,1968-1999,Y,Y,lee
lyg,Lyngngam,1,,L,2,,,,N,Y,
mjn,Ma,1,1,L,2,,,,N,N,
skc,"Ma Manda",1,1,L,2,,,,N,N,
mhy,Ma'anyan,1,1,L,4,,1999,1950,Y,Y,mhy
mhi,Ma'di,3,3,L,4,,1977,1935-1938,Y,Y,mhi
snm,"Ma'di, Southern",1,1,L,3,,,2014-2024,Y,Y,
slz,Ma'ya,1,1,L,1,,,,N,Y,
cma,Maa,1,1,L,2,,,,N,Y,
mew,Maaka,1,1,L,2,,,,N,N,
mev,Maan,2,2,L,4,,1978,1946-1987,Y,Y,mev
mas,Maasai,5,2,L,5,1991-2020,1923-1967,1905-1961,Y,Y,mas
ymm,Maay,5,4,L,3,,,2006-2024,Y,Y,
mde,"Maba (Chad)",2,2,L,3,,,2024-2025,N,Y,
mqa,"Maba (Indonesia)",1,1,L,1,,,,N,Y,
mmz,Mabaale,1,1,L,2,,,,N,Y,
mfz,Mabaan,2,2,L,5,2017-2022,1988-2002,1947-1997,N,Y,mfz
mcl,Macaguaje,,,N,0,,,,N,N,
mbn,Macaguan,1,1,L,2,,,,N,N,
mzs,Macanese,,,N,0,,,,N,N,
mkd,Macedonian,17,17,L,5,1990-2017,1967-1976,1952-1959,Y,Y,mkd
jmc,Machame,1,1,L,5,2016,2000,1932,Y,Y,jmc
mpd,Machinere,2,2,L,4,,2018,1960,N,Y,mpd
mvw,Machinga,1,1,L,0,,,,N,N,
wpc,Maco,1,1,L,4,,2014,Yes,N,N,wpc
myy,Macuna,5,2,L,4,,1989-2014,1978-1987,N,Y,myy
mbc,Macushi,3,3,L,4,,1996-2013,1923-1975,N,Y,mbc
mxu,"Mada (Cameroon)",1,1,L,3,,,1989,N,Y,
mda,"Mada (Nigeria)",1,1,L,4,,1999-2008,1990,Y,Y,mda
mmx,Madak,1,1,L,4,,1995-2014,1982-2011,N,Y,mmx
msj,"Madi (Democratic Republic of the Congo)",1,1,L,2,,,,N,Y,
grg,"Madi (Papua New Guinea)",1,1,L,3,,,2011-2025,N,N,grg
mad,Madura,4,3,L,5,1994,Yes,1890-1987,Y,Y,mad
mme,Mae,1,1,L,2,,,,N,Y,
mwo,"Maewo, Central",1,1,L,3,,,1906,N,N,
maf,Mafa,2,2,L,5,1978-1989,1965,1958-1961,Y,Y,maf
mkv,Mafea,1,1,L,0,,,,N,N,
mag,Magahi,285,,L,4,,1818-2016,1890-2009,Y,Y,
mgp,"Magar, Eastern",1,,L,4,,1991,1977-1984,Y,Y,mgp
mrd,"Magar, Western",10,,L,4,,1991,2007,Y,Y,4406
gmd,Maghdi,1,1,L,2,,,,N,N,
gkd,Magi,1,1,N,0,,,,N,N,
mgu,Magi,1,1,L,4,,1936-1979,1907-1920,Y,Y,
gmg,Magiyi,1,1,L,2,,,,N,N,
gmx,Magoma,1,1,L,2,,,,N,Y,
zgr,Magori,,,L,2,,,,N,N,
mdh,Maguindanaon,1,1,L,4,,2020,Yes,Y,Y,
mhe,"Mah Meri",1,1,L,2,,,,N,N,
mjx,Mahali,16,,L,4,,Yes,2020,N,Y,
mhb,Mahongwe,1,1,N,0,,,,N,N,
mxx,Mahou,1,1,L,3,,,2001-2021,Y,Y,mxx
ayz,"Mai Brat",1,1,L,4,,2004-2007,1990-2000,Y,Y,ayz
sks,Maia,1,1,L,3,,,1988-2013,N,N,
mzz,Maiadomu,1,1,L,3,,,2009-2023,N,Y,mzz
tnh,Maiani,1,1,L,3,,,1982-1988,N,N,
nmu,"Maidu, Northeast",,,N,0,,,,N,N,
mjd,"Maidu, Northwest",,,N,0,,,,N,N,
mmm,Maii,1,1,L,0,,,,N,Y,
ore,Maijuna,1,1,L,3,,,1967-2010,N,Y,
cwb,Maindo,1,1,L,2,,,,N,N,
zrs,Mairasi,1,1,L,4,,2004,1986-1999,N,Y,zrs
mbq,Maisin,1,1,L,3,,,2001-2006,N,Y,
mai,Maithili,435,,L,4,,2010,Yes,Y,Y,mai
wmm,"Maiwa (Indonesia)",2,1,L,3,,,2020,Y,N,
mti,"Maiwa (Papua New Guinea)",1,1,L,4,,2011-2014,2004,N,Y,mti
mum,Maiwala,1,1,L,3,,,2021,N,Y,
mpe,Majang,2,1,L,4,,2017,1993–2009,Y,Y,mpe
xmj,Majera,2,2,L,1,,,,N,N,
mjz,Majhi,5,,L,3,,,2019-2020,Y,Y,4017
mmj,Majhwar,1,,L,2,,,,N,N,
mkg,"Mak (China)",1,1,L,0,,,,N,Y,
pbl,"Mak (Nigeria)",1,1,L,2,,,,N,Y,
mca,Maka,1,1,L,4,,2013-2014,1985-2013,N,Y,mca
mcp,Makaa,1,1,L,4,,2014-2018,1997-2003,Y,Y,mcp
myh,Makah,,,N,0,,,,N,Y,
mjb,Makalero,1,1,L,2,,,,N,N,
mkz,Makasae,1,1,L,2,,,,N,Y,
mak,Makasar,1,1,L,5,1900-1999,1888,1864-1875,Y,Y,mak
aup,Makayam,1,1,L,3,,,2009,N,Y,
vmw,Makhuwa,4,3,L,5,1982-2000,Yes,1946,Y,Y,
xmc,Makhuwa-Marrevone,1,1,L,2,,,,N,Y,
mgh,Makhuwa-Meetto,5,5,L,4,,2009-2021,1927-2009,N,Y,mgh
mhm,Makhuwa-Moniga,1,1,L,2,,,,N,N,
xsq,Makhuwa-Saka,1,1,L,3,,,2022,N,Y,
vmk,Makhuwa-Shirima,1,1,L,5,2021,2000,2000,N,Y,vmk
mky,"Makian, East",1,1,L,1,,,,N,N,
mqs,"Makian, West",1,1,L,1,,,,N,N,
mgf,Maklew,1,1,N,0,,,,N,Y,
kde,Makonde,4,3,L,4,,2013-2019,2008,Y,Y,kde
mpu,Makurap,1,1,N,0,,,,N,N,
lva,Makuva,,,N,2,,,,N,Y,
ymk,Makwe,2,2,L,2,,,,N,Y,
mlf,Mal,2,2,L,4,,1994-2015,1983,N,Y,
mkb,"Mal Paharia",58,,L,5,2018,Yes,1994,Y,Y,
ped,"Mala (Bogia district)",1,1,L,3,,,1982-1988,N,N,
mmt,"Mala (Rai coast)",1,1,L,1,,,,N,N,
ima,"Mala Malasar",,,L,3,,,Yes,N,N,
ccm,"Malaccan Malay Creole",,,N,0,,,,N,N,
mcm,"Malaccan Portuguese Creole",2,2,N,3,,,1884,N,N,
mzc,"Malagasy Sign Language",1,1,L,2,,,,N,N,
xmv,"Malagasy, Antankarana",1,1,L,3,,,2014,Y,Y,
bhr,"Malagasy, Bara",1,1,L,3,,,2011,Y,Y,
msh,"Malagasy, Masikoro",1,1,L,3,,,2008-2015,Y,Y,
plt,"Malagasy, Merina",20,8,L,5,1835-2011,1830-1990,1828-1987,Y,Y,plt
bmm,"Malagasy, Northern Betsimisaraka",1,1,L,3,,,2014,Y,Y,
skg,"Malagasy, Sakalava",2,1,L,3,,,Yes,Y,Y,
bzc,"Malagasy, Southern Betsimisaraka",1,1,L,3,,,2014,Y,N,
tdx,"Malagasy, Tandroy-Mahafaly",2,1,L,3,,,2012-2014,Y,Y,
txy,"Malagasy, Tanosy",1,1,L,3,,,2014,Y,Y,
tkg,"Malagasy, Tesaka",1,1,L,3,,,2014,Y,Y,
xmw,"Malagasy, Tsimihety",1,1,L,3,,,1924,Y,Y,
mpb,"Malak Malak",,,N,0,,,,N,N,
mln,Malango,1,1,L,3,,,2024,Y,Y,3913
mjo,Malankuravan,2,,L,2,,,,N,N,
mjp,Malapandaram,,,L,2,,,,N,N,
mjq,Malaryan,,,N,0,,,,N,N,
ymr,Malasar,,,L,3,,,2017,N,N,
mjr,Malavedan,,,L,2,,,,N,N,
lws,"Malawian Sign Language",1,1,L,3,,,2025,N,N,
zlm,Malay,37,21,L,5,1996-2015,1668-1974,1629-1932,Y,Y,402
abs,"Malay, Ambonese",11,3,L,4,,1877-2022,1931-2016,Y,Y,abs
mbf,"Malay, Baba",2,2,N,4,,1835-2016,1891-1912,N,Y,
btj,"Malay, Bacanese",1,1,N,0,,,,N,N,
mhp,"Malay, Balinese",1,1,L,2,,,,N,Y,
bpq,"Malay, Banda",1,1,L,2,,,,N,N,
bve,"Malay, Berau",1,1,L,2,,,,N,N,
bvu,"Malay, Bukit",1,1,L,3,,,2021,Y,Y,
pse,"Malay, Central",10,1,L,4,,1995,Yes,Y,Y,pse
coa,"Malay, Cocos Islands",3,3,L,1,,,,N,N,
jax,"Malay, Jambi",2,1,L,3,,,2020,Y,Y,
meo,"Malay, Kedah",1,1,L,0,,,,N,N,
mqg,"Malay, Kota Bangun Kutai",1,1,L,3,,,2020,Y,Y,
mkn,"Malay, Kupang",1,1,L,4,,2007-2016,1999-2002,N,Y,mkn
lrt,"Malay, Larantuka",1,1,L,2,,,,N,N,
xmm,"Malay, Manado",1,1,L,4,,2017,2003-2012,Y,Y,xmm
max,"Malay, North Moluccan",1,1,L,4,,2020,2005-2012,Y,Y,max
pmy,"Malay, Papuan",,,L,3,,,2013-2020,Y,Y,pmy
mfa,"Malay, Pattani",1,1,L,4,,1981,1981,Y,Y,
msi,"Malay, Sabah",,,L,3,,,2017-2022,N,Y,
zsm,"Malay, Standard",,,L,5,1733-2016,1668-1974,1629-1932,N,Y,zsm
vkt,"Malay, Tenggarong Kutai",1,1,L,3,,,2020,Y,N,
mal,Malayalam,438,,L,5,1841-2022,1829-1995,1811-1968,Y,Y,mal
xdy,"Malayic Dayak",1,1,L,4,,2021,2018,Y,Y,xdy
mlz,Malaynon,1,1,L,0,,,,N,N,
xml,"Malaysian Sign Language",1,1,L,3,,,2015-2024,N,N,
div,Maldivian,4,4,L,4,,Yes,1997-2017,Y,Y,div
mdy,Male,1,1,L,5,2007-2017,Yes,Yes,Y,Y,mdy
pqm,Malecite-Passamaquoddy,2,2,N,3,,,1863-2014,N,Y,pqm
hot,Malei,2,1,L,4,,2010-2014,1988,Y,Y,hot
gut,"Maleku Jaika",1,1,L,0,,,,N,Y,
pkt,Maleng,2,2,L,2,,,,N,Y,
mgl,Maleu-Kilenge,1,1,L,4,,2014,1990,N,Y,
mxf,Malgbe,2,2,L,1,,,,N,N,
gcc,Mali,1,1,L,2,,,,N,N,
bog,"Malian Sign Language",,,L,2,,,,N,N,
mgq,Malila,1,1,L,4,,2020,2010-2015,Y,N,mgq
mli,Malimpung,1,1,L,2,,,,N,N,
mla,Malo,1,1,L,4,,1954,1892-1954,N,Y,
mbk,Malol,1,1,L,3,,,2011-2018,N,N,
mlt,Maltese,9,8,L,5,1926-2010,1847-1959,1822-1872,Y,Y,mlt
mdl,"Maltese Sign Language",,,L,3,,,2008-2020,N,N,
mll,"Malua Bay",1,1,L,2,,,,N,N,
mup,Malvi,296,,L,4,,1826-2015,Yes,Y,Y,
mam,Mam,10,3,L,5,1993-2026,1939-2003,1930-2003,Y,Y,mam
mma,Mama,1,1,L,2,,,,N,Y,
wmd,Mamainde,2,1,L,3,,,1979-2008,Y,Y,
mqj,Mamasa,2,1,L,4,,2011,1995-2004,Y,Y,mqj
mgm,Mambae,1,1,L,3,,,2022-2023,N,Y,mgm
mcs,Mambai,2,2,L,3,,,2011-2014,N,Y,
mcu,"Mambila, Cameroon",1,1,L,4,,2001-2006,1992,N,Y,mcu
mzk,"Mambila, Nigeria",1,1,L,4,,1977-2011,1973,Y,Y,
mvd,Mamboru,1,1,L,2,,,,N,N,
mgr,Mambwe-Lungu,2,2,L,5,2013,1901-1991,1893-1924,Y,Y,mgr
maw,Mampruli,2,2,L,4,,2001-2007,1943-1998,Y,Y,maw
mqx,Mamuju,1,1,L,3,,,2019,Y,Y,
kdf,Mamusi,1,1,L,3,,,Yes,Y,N,
mdi,Mamvu,1,1,L,3,,,1931,N,Y,
mml,"Man Met",1,1,L,1,,,,N,Y,
mva,Manam,1,1,L,4,,1996-2014,1988,N,Y,mva
mle,Manambu,1,1,L,4,,1979,1972,Y,Y,mle
pmr,Manat,1,1,N,0,,,,N,N,
mnc,Manchu,1,1,N,4,,1835-1929,1822,N,N,
ate,Mand,1,1,N,0,,,,N,N,
mha,"Manda (India)",,,L,2,,,,N,N,
mgs,"Manda (Tanzania)",1,1,L,4,,1937,1913-1928,Y,Y,mgs
myz,"Mandaic, Classical",,,N,0,,,,N,N,
mhq,Mandan,,,N,3,,,1905,N,N,mhq
mdr,Mandar,2,1,L,3,,,2006,Y,Y,
tbf,Mandara,1,1,L,4,,2009,2006,Y,Y,tbf
mqu,Mandari,1,1,L,3,,,2008-2012,Y,Y,
mry,Mandaya,3,1,L,2,,,,N,Y,
mjl,Mandeali,152,,L,5,2025,2017-2021,1970,Y,Y,mjl
mqr,Mander,,,N,0,,,,N,N,
mnk,Mandinka,7,6,L,5,2013,1989,1837-2000,Y,Y,mnk
mzv,Mandja,2,2,L,3,,,2022,Y,Y,
mfv,Mandjak,4,4,L,4,,2020-2021,1968,Y,Y,mfv
aax,"Mandobo Atas",2,2,L,2,,,,N,N,
bwp,"Mandobo Bawah",1,1,L,2,,,,N,N,
jet,Manem,2,2,L,2,,,,N,N,
mkr,Manep,1,1,L,2,,,,N,N,
zng,Mang,2,2,L,2,,,,N,Y,
mem,Mangala,,,N,0,,,,N,Y,
mrv,Mangareva,1,1,L,3,,,1908,N,N,
mpc,Mangarrayi,,,N,0,,,,N,Y,
myj,Mangayat,,,N,2,,,,N,N,
mdj,Mangbetu,2,2,L,3,,,1988-2007,Y,Y,
mdk,Mangbutu,1,1,L,0,,,,N,Y,
mqy,Manggarai,1,1,L,4,,2013,Yes,Y,Y,mqy
mge,Mango,1,1,L,4,,2019,1968,Y,N,mge
mqc,Mangole,1,1,L,1,,,,N,N,
mbh,Mangseng,1,1,L,4,,1999-2014,1991,N,Y,mbh
mom,Mangue,,,N,0,,,,N,N,
abd,Manide,1,1,L,2,,,,N,N,
msc,"Maninka, Sankaran",1,1,L,3,,,2015,N,Y,msc
emk,"Maninkakan, Eastern",12,9,L,4,,1932-1993,1931-1964,Y,Y,
mwk,"Maninkakan, Kita",1,1,L,4,,2022-2023,2017,Y,Y,
mlq,"Maninkakan, Western",6,6,L,3,,,1997-2003,Y,Y,
mqp,Manipa,1,1,N,0,,,,N,N,
knf,Mankanya,3,3,L,4,,2014,2000-2005,Y,Y,knf
nlm,Mankiyali,,,L,2,,,,N,N,
bqt,Mankong,1,1,L,3,,,2014-2018,N,Y,
mju,Manna-Dora,,,N,2,,,,N,N,
mjv,Mannan,,,L,4,,2018,2012,N,Y,mjv
msm,"Manobo, Agusan",2,1,L,4,,1999-2011,1962-1995,Y,Y,msm
atd,"Manobo, Ata",1,1,L,4,,2000,1974-1981,Y,Y,atd
mta,"Manobo, Cotabato",2,1,L,4,,1988-2005,1964-1997,Y,Y,mta
mbd,"Manobo, Dibabawon",1,1,L,4,,1978-1987,1967,Y,Y,mbd
mbi,"Manobo, Ilianen",1,1,L,4,,1989,1961-1981,Y,Y,mbi
mkx,"Manobo, Kinamiging",1,1,L,0,,,,N,N,
mbt,"Manobo, Matigsalug",2,1,L,5,2022-2023,2010-2011,1972-2005,Y,Y,mbt
obo,"Manobo, Obo",1,1,L,4,,2011-2016,1941-1999,Y,Y,obo
mqk,"Manobo, Rajah Kabunsuwan",1,1,L,2,,,,N,N,
mbs,"Manobo, Sarangani",1,1,L,4,,1982,1967-1985,Y,Y,mbs
mbb,"Manobo, Western Bukidnon",2,1,L,5,2016,1978-2003,1959-1965,Y,Y,mbb
woo,Manombai,1,1,L,2,,,,N,N,
msk,Mansaka,1,1,L,4,,1975,1959-1968,N,Y,msk
zns,"Mansi (Nigeria)",1,1,L,3,,,Yes,N,Y,
mns,"Mansi (Russian Federation)",1,1,L,3,,,1868-2016,N,N,
msw,Mansoanka,2,2,L,3,,,2011-2013,Y,Y,
myg,Manta,1,1,L,1,,,,N,N,
nty,Mantsi,1,1,L,2,,,,N,N,
glv,Manx,,,N,5,1771-2017,1767-1775,1748-1767,N,N,glv
mzj,Manya,2,2,L,4,,2022-2023,2023,N,Y,mzj
mny,Manyawa,1,1,L,2,,,,N,N,
mxc,Manyika,2,2,L,4,,1908,1903-1922,Y,Y,
mmd,Maonan,1,1,L,3,,,2026,Y,Y,
mri,Maori,2,2,L,5,1858-2017,1837-1862,1833-1862,Y,Y,mri
mlh,Mape,1,1,L,4,,2008-2014,Yes,N,N,mlh
mnm,Mapena,1,1,L,2,,,,N,Y,
mpw,Mapidian,,,N,0,,,,N,Y,
mcg,Mapoyo,,,N,0,,,,N,N,
arn,Mapudungun,3,2,L,4,,1997-2011,1901-1930,Y,Y,arn
sjm,Mapun,2,2,L,4,,2021,Yes,Y,Y,sjm
mch,Maquiritari,2,2,L,4,,1970,1957-1968,Y,Y,mch
mrh,Mara,23,,L,5,1955-2023,1928-1968,1912-1954,N,Y,mrh
vmh,Maraghei,,,L,0,,,,N,Y,
mrs,Maragus,,,N,0,,,,N,N,
mrw,Maranao,1,1,L,5,2013,1981,1937-1967,Y,Y,
wax,Marangis,1,1,L,2,,,,N,N,
zmr,Maranunggu,,,N,0,,,,N,N,
mgb,Mararit,3,2,L,2,,,,N,Y,
mar,Marathi,695,,L,5,1821-2024,1811-1982,1807-1957,Y,Y,mar
mvr,Marau,1,1,L,2,,,,N,Y,
mpg,Marba,1,1,L,5,1999,1978,1967-1986,Y,Y,mpg
dsz,"Mardin Sign Language",,,N,0,,,,N,N,
vmr,Marenje,1,1,L,3,,,Yes,N,N,
mvu,Marfa,1,1,L,1,,,,N,N,
mrt,"Marghi Central",1,1,L,4,,1985-1987,1940-1961,Y,Y,
mfm,"Marghi South",1,1,L,3,,,2013-2021,Y,Y,mfm
mbx,"Mari (PNG, East Sepik Province)",1,1,L,2,,,,N,Y,
hob,"Mari (PNG, Madang Province)",1,1,L,2,,,,N,N,
mrj,"Mari, Hill",2,2,L,4,,1824-2014,1821-2006,N,N,4023
mhr,"Mari, Meadow",4,3,L,4,,1986-2020,1870-1999,Y,N,mhr
mrr,"Maria (India)",9,,L,4,,2021,Yes,Y,Y,mrr
mds,"Maria (Papua New Guinea)",1,1,L,2,,,,N,Y,
daq,"Maria, Dandami",4,,L,4,,2010,Yes,Y,Y,
mrc,Maricopa,1,1,N,0,,,,N,N,
zmd,Maridan,,,N,0,,,,N,N,
zmj,Maridjabin,,,N,0,,,,N,N,
dad,Marik,1,1,L,4,,2011-2013,1989-1997,N,Y,dad
zmm,Marimanindji,,,N,0,,,,N,N,
mrz,Marind,1,1,L,3,,,Yes,N,Y,
bpv,"Marind, Bian",1,1,L,0,,,,N,Y,
mbw,Maring,1,1,L,3,,,1969-1979,N,Y,
zmt,Maringarr,,,N,0,,,,N,N,
mrb,Marino,1,1,L,1,,,,N,N,
mqi,Mariri,1,1,L,0,,,,N,N,
nsr,"Maritime Sign Language",,,N,0,,,,N,N,
zmy,Mariyedi,,,N,0,,,,N,N,
rkm,Marka,2,2,L,3,,,1987,N,Y,
enb,Markweeta,1,1,L,4,,2008,1998-2000,Y,Y,
rmz,Marma,14,,L,4,,2022-2023,1970,Y,Y,rmz
mvo,Marovo,1,1,L,5,1956,1941,1931,N,Y,
mrq,"Marquesan, North",2,2,L,4,,1995,1880-1995,N,Y,
mqm,"Marquesan, South",1,1,L,3,,,1858-1905,N,Y,
mec,Marra,,,N,0,,,,N,N,3662
xru,Marriammu,,,N,0,,,,N,N,
mfr,Marrithiyel,,,N,0,,,,N,N,
mah,Marshallese,4,3,L,5,1982-2009,1885-1977,1863-1983,Y,Y,
zmg,"Marti Ke",,,N,0,,,,N,N,
mpj,"Martu Wangka",1,1,L,3,,,1981-2010,N,Y,
mzr,Marubo,1,1,L,3,,,2019,N,Y,mzr
rwr,"Marwari (India)",529,,L,4,,1820-2025,1815-1867,Y,Y,
mve,"Marwari (Pakistan)",288,,L,4,,1821-2025,1969-1991,Y,Y,
myx,Masaaba,2,2,L,5,2016-2017,1977-2011,1904-1910,Y,Y,myx
mls,Masalit,3,3,L,3,,,2013-2019,Y,Y,
mcn,Masana,2,2,L,5,2001-2004,1950-1955,1934-1985,Y,Y,mcn
msb,Masbatenyo,1,1,L,4,,1993,1972-1991,Y,N,msb
mxz,"Masela, Central",1,1,N,0,,,,N,N,
vme,"Masela, East",1,1,N,0,,,,N,N,
mss,"Masela, West",1,1,L,0,,,,N,N,
cuj,"Mashco Piro",1,1,L,1,,,,N,N,
jms,"Mashi (Nigeria)",1,1,L,2,,,,N,Y,
mho,"Mashi (Zambia)",3,3,L,4,,2024,2013-2023,Y,Y,3749
ism,Masimasi,,,N,0,,,,N,N,
bnf,Masiwang,2,1,L,1,,,,N,N,
klv,Maskelynes,1,1,L,4,,2013-2014,1906-2009,Y,Y,klv
msv,Maslam,2,2,L,0,,,,N,N,
mes,Masmaje,1,1,L,2,,,,N,N,
mdg,Massalat,,,N,0,,,,N,N,
mvs,Massep,,,N,0,,,,N,N,
mtn,Matagalpa,,,N,0,,,,N,N,
mfh,Matal,1,1,L,4,,1989-2011,Yes,Y,Y,mfh
wtb,Matambwe,1,1,L,2,,,,N,Y,
xmt,Matbat,1,1,L,2,,,,N,Y,
mgv,Matengo,1,1,L,4,,2020-2024,2019,Y,N,3941
mqe,Matepi,1,1,L,2,,,,N,N,
xem,Mateq,1,1,L,1,,,,N,Y,
mzo,Matipuhy,,,N,0,,,,N,N,
mpq,Matis,1,1,L,1,,,,N,Y,
ocu,"Matlatzinca, Atzingo",1,1,N,0,,,,N,Y,
mat,"Matlatzinca, San Francisco",1,1,N,0,,,,N,Y,
met,Mato,1,1,L,4,,2018,2017,Y,N,met
mcf,Matses,2,2,L,4,,1993-2021,1976-1988,Y,Y,mcf
mcb,Matsigenka,1,1,L,4,,1976-2018,1956-2011,Y,N,mcb
tsh,Matsuva,1,1,N,2,,,,N,N,
xnz,Mattokki,1,1,L,3,,,1912-1954,N,Y,xnz
mvb,Mattole,,,N,0,,,,N,N,
mjk,"Matukar Panau",1,1,L,2,,,,N,N,
mgw,Matumbi,1,1,L,4,,2025,2017,Y,Y,mgw
mph,Maung,1,1,L,3,,,1960-2016,N,Y,mph
lsy,"Mauritian Sign Language",,,L,2,,,,N,N,
mhl,Mauwake,2,1,L,4,,1998-2014,1986-1991,N,Y,mhl
mcw,"Mawa (Chad)",1,1,L,3,,,2022-2024,N,Y,
mjj,Mawak,1,1,N,0,,,,N,N,
mcz,Mawan,1,1,L,2,,,,N,N,
mzx,Mawayana,,,N,0,,,,N,N,
mke,Mawchi,13,,L,4,,1989,1976-1978,Y,Y,
mgk,Mawes,1,1,L,2,,,,N,Y,
myf,"Mawes Aasse",1,1,L,2,,,,N,N,
mbl,Maxakali,1,1,L,4,,1981-2011,1968,Y,Y,mbl
mop,"Maya, Mopan",2,2,L,4,,1979-2012,1965,N,Y,mop
yua,"Maya, Yucatec",4,3,L,5,1992,1961-1977,1865-1985,Y,Y,yua
yan,Mayangna,3,3,L,5,1998-1999,1999,Yes,Y,Y,yan
myc,Mayeka,2,2,N,0,,,,N,N,
mfy,Mayo,1,1,N,4,,2013-2014,1962-2000,N,Y,mfy
mdm,Mayogo,1,1,L,4,,2015,2000-2008,Y,Y,mdm
dkx,Mazagway-Hidi,1,1,L,3,,,1972,Y,Y,
maz,"Mazahua, Central",1,1,L,4,,1970-2012,1949-1987,Y,Y,maz
mmc,"Mazahua, Michoacan",1,1,L,3,,,1986-1987,N,Y,
mzn,Mazandarani,1,1,L,4,,Yes,2021,N,Y,mzn
vmy,"Mazatec, Ayautla",1,1,L,4,,2009,2004,N,Y,vmy
maq,"Mazatec, Chiquihuitlan",1,1,L,4,,1991-2009,1975-1987,N,Y,maq
mau,"Mazatec, Huautla",1,1,L,4,,1960-2009,1946-1958,Y,Y,mau
mzi,"Mazatec, Ixcatlan",1,1,L,4,,2013-2015,2012,N,Y,mzi
